Date,Open,High,Low,Close,Volume
2024-10-01,0.1,0.10165261,0.0968783,0.09725395,75827972
2024-10-02,0.09725395,0.0974802,0.09015878,0.09245137,77353602
2024-10-03,0.09245137,0.09278846,0.08975452,0.09232332,78166176
2024-10-04,0.09232332,0.09412583,0.0910603,0.09217665,75551051
2024-10-05,0.09217665,0.09636983,0.09037329,0.09477585,77589705
2024-10-06,0.09477585,0.09506145,0.08901264,0.0893141,80757079
2024-10-07,0.0893141,0.09260831,0.08885907,0.09116095,78938502
2024-10-08,0.09116095,0.091494,0.08543026,0.08732807,73738743
2024-10-09,0.08732807,0.08848463,0.08148864,0.08164264,67103806
2024-10-10,0.08164264,0.08466938,0.08019583,0.08244778,62607508
2024-10-11,0.08244778,0.08296315,0.0790675,0.07913413,66490785
2024-10-12,0.07913413,0.08134824,0.07867116,0.07953406,62085348
2024-10-13,0.07953406,0.08115918,0.078707,0.07976039,65301010
2024-10-14,0.07976039,0.08174778,0.07947566,0.08172741,73119576
2024-10-15,0.08172741,0.08289049,0.08143759,0.08258534,73660880
2024-10-16,0.08258534,0.08265955,0.08007238,0.08007987,70020071
2024-10-17,0.08007987,0.08156336,0.0784585,0.08075081,71313154
2024-10-18,0.08075081,0.08285841,0.07827615,0.07914384,68128865
2024-10-19,0.07914384,0.0804621,0.07743889,0.08037357,76096952
2024-10-20,0.08037357,0.08172541,0.08014571,0.08058925,77612645
2024-10-21,0.08058925,0.08475156,0.07996825,0.08472049,79844477
2024-10-22,0.08472049,0.08995834,0.0839589,0.08715947,72031785
2024-10-23,0.08715947,0.08796753,0.08618712,0.08630588,68762596
2024-10-24,0.08630588,0.08760489,0.08059848,0.08280996,74446435
2024-10-25,0.08280996,0.08338998,0.07885454,0.07913353,77642915
2024-10-26,0.07913353,0.07975487,0.07621209,0.07671756,81654698
2024-10-27,0.07671756,0.07735096,0.07380745,0.07416516,86100142
2024-10-28,0.07416516,0.07456286,0.07159288,0.07171489,85517338
2024-10-29,0.07171489,0.07332973,0.07059524,0.07283613,79532914
2024-10-30,0.07283613,0.0733808,0.06914016,0.06920967,72739533
2024-10-31,0.06920967,0.0700993,0.06769378,0.0683669,72888938
2024-11-01,0.0683669,0.07171493,0.0683072,0.07161096,79917584
2024-11-02,0.07161096,0.07404804,0.07065308,0.07313045,73120994
2024-11-03,0.07313045,0.07376465,0.0714507,0.07278075,71009434
2024-11-04,0.07278075,0.07310317,0.06959991,0.07141003,70307865
2024-11-05,0.07141003,0.07240028,0.06822955,0.06963455,66955163
2024-11-06,0.06963455,0.07127903,0.06867082,0.06903522,71186633
2024-11-07,0.06903522,0.07586836,0.06873925,0.074163,63864140
2024-11-08,0.074163,0.07480473,0.06991163,0.07085961,65365984
2024-11-09,0.07085961,0.07119344,0.06894875,0.06983912,64489848
2024-11-10,0.06983912,0.07211852,0.06952552,0.07119071,60738022
2024-11-11,0.07119071,0.07527048,0.0699284,0.0735266,57880548
2024-11-12,0.0735266,0.0774011,0.07300642,0.07672608,56475008
2024-11-13,0.07672608,0.07711526,0.07226864,0.07305431,59107927
2024-11-14,0.07305431,0.07399513,0.07075987,0.07154084,56825678
2024-11-15,0.07154084,0.07273082,0.0714039,0.07208907,56650691
2024-11-16,0.07208907,0.07501343,0.07177847,0.07498713,56287433
2024-11-17,0.07498713,0.07528036,0.07373904,0.07377441,57527623
