Date,Open,High,Low,Close,Volume
2024-10-01,75.0,75.3670243,74.83492541,74.98459807,27593
2024-10-02,74.98459807,75.58292221,74.81918947,75.38550668,26907
2024-10-03,75.38550668,75.51168288,75.03079595,75.21156316,30033
2024-10-04,75.21156316,76.1086119,75.08220404,75.78560779,32085
2024-10-05,75.78560779,75.8126213,75.41919135,75.61074049,31204
2024-10-06,75.61074049,75.75211746,75.17132944,75.35268052,31129
2024-10-07,75.35268052,75.68742609,75.21616689,75.66974117,31856
2024-10-08,75.66974117,75.71021592,74.97614626,75.37439675,33345
2024-10-09,75.37439675,75.97315199,74.72746443,74.83322158,36412
2024-10-10,74.83322158,74.959077,74.74479102,74.79679875,36861
2024-10-11,74.79679875,75.5393052,74.67697259,75.34906382,38439
2024-10-12,75.34906382,75.40621706,74.8284723,75.08497919,34502
2024-10-13,75.08497919,75.33783811,74.82507979,75.02270892,34171
2024-10-14,75.02270892,75.93216575,74.92165526,75.45493237,37289
2024-10-15,75.45493237,75.47276351,75.37763922,75.42559617,37039
2024-10-16,75.42559617,75.69625522,75.1059778,75.3777064,39705
2024-10-17,75.3777064,75.44875063,75.22773742,75.36438128,38658
2024-10-18,75.36438128,75.76035814,75.19813221,75.65148913,40327
2024-10-19,75.65148913,75.81085427,75.5813537,75.64642149,39472
2024-10-20,75.64642149,75.99138185,75.55869411,75.74969325,41112
2024-10-21,75.74969325,76.18374474,75.18628998,75.28249279,37240
2024-10-22,75.28249279,75.57165876,74.57597402,74.67381987,39374
2024-10-23,74.67381987,75.20563882,74.63116896,74.89778694,36595
2024-10-24,74.89778694,75.12161069,74.83139082,75.05673718,40315
2024-10-25,75.05673718,75.3752854,75.04910853,75.29953167,43556
2024-10-26,75.29953167,75.36588035,74.87756751,75.01586036,46755
2024-10-27,75.01586036,75.60620401,74.95766604,75.57370025,50578
2024-10-28,75.57370025,75.99460421,75.50095629,75.83101083,53736
2024-10-29,75.83101083,76.22168548,75.60819863,76.03868784,52686
2024-10-30,76.03868784,76.33612855,75.77514475,76.33273186,51053
2024-10-31,76.33273186,76.75795234,76.27003682,76.4460122,54672
2024-11-01,76.4460122,76.57942236,76.19982894,76.55505485,53726
2024-11-02,76.55505485,76.9442605,76.45018127,76.84828199,53949
2024-11-03,76.84828199,76.89342996,76.44541922,76.66284739,51915
2024-11-04,76.66284739,77.39299546,76.49585246,77.27808585,47999
2024-11-05,77.27808585,77.91738334,76.98919748,77.64376997,48630
2024-11-06,77.64376997,77.93474839,77.07817787,77.28491284,49855
2024-11-07,77.28491284,78.16994727,76.98882533,78.10173107,51720
2024-11-08,78.10173107,78.39411608,77.64480851,77.84922012,51102
2024-11-09,77.84922012,78.02011552,77.59191505,77.64915832,51807
2024-11-10,77.64915832,77.75585003,76.8069507,77.01135871,55793
2024-11-11,77.01135871,77.24532264,76.57503566,76.58504132,57470
2024-11-12,76.58504132,76.90200333,76.41485066,76.85652572,57599
2024-11-13,76.85652572,77.23221845,76.7716145,77.17257152,58408
2024-11-14,77.17257152,77.52982757,76.92235202,77.33861905,56366
2024-11-15,77.33861905,77.93795185,77.27377682,77.83405809,53428
2024-11-16,77.83405809,78.40644007,77.76515461,78.31005141,56388
2024-11-17,78.31005141,78.42934501,77.83032554,78.04897196,54778
2024-11-18,78.04897196,78.53633403,77.80075429,78.52430918,51221
2024-11-19,78.52430918,78.95090713,77.94316528,78.32802522,49980
2024-11-20,78.32802522,78.7511973,78.07090862,78.3394252,47541
2024-11-21,78.3394252,79.04595872,78.2134115,78.78373348,43955
2024-11-22,78.78373348,79.14102357,78.3379232,78.34983618,43530
2024-11-23,78.34983618,78.4120552,77.66283469,77.86865733,41385
2024-11-24,77.86865733,78.37389283,77.81965349,78.36476993,40944
2024-11-25,78.36476993,79.05101039,78.26371354,78.6580437,37256
2024-11-26,78.6580437,78.95557075,78.17923133,78.46695178,39356
2024-11-27,78.46695178,78.59720929,78.24116658,78.55640482,39766
2024-11-28,78.55640482,79.01525957,78.45561221,78.94532815,43747
2024-11-29,78.94532815,79.99572189,78.77344767,79.72008625,46487
2024-11-30,79.72008625,79.73792373,79.58950579,79.69171344,44384
2024-12-01,79.69171344,80.50619899,79.67605791,80.27350143,47766
2024-12-02,80.27350143,80.47337801,80.0505165,80.38215563,47234
2024-12-03,80.38215563,81.30573576,80.34446061,81.22679471,43616
2024-12-04,81.22679471,81.3378287,81.11413253,81.2774905,45970
2024-12-05,81.2774905,81.68364616,81.21779183,81.54424325,44391
2024-12-06,81.54424325,81.62940895,81.23670819,81.32974921,48075
2024-12-07,81.32974921,81.74638365,81.18963266,81.52414466,51764
2024-12-08,81.52414466,81.86651042,81.19985194,81.80721908,55117
2024-12-09,81.80721908,82.15985502,81.43862494,81.53193765,51962
2024-12-10,81.53193765,81.55749019,81.40146474,81.47208839,50047
2024-12-11,81.47208839,81.585177,81.33512621,81.41241943,52594
2024-12-12,81.41241943,81.45833723,81.10662176,81.26604047,52081
2024-12-13,81.26604047,81.3526488,80.86197683,80.90931802,48577
2024-12-14,80.90931802,81.57543538,80.54852605,81.3006796,44757
2024-12-15,81.3006796,81.57205277,81.16664753,81.54594185,45232
2024-12-16,81.54594185,82.20494498,81.22512897,82.16247371,45136
2024-12-17,82.16247371,82.76920702,82.00900722,82.58433811,42698
2024-12-18,82.58433811,83.40407074,82.42557736,83.07958054,45662
2024-12-19,83.07958054,83.19633918,82.710485,82.71742449,42711
2024-12-20,82.71742449,83.97642468,82.27813015,83.63514945,45413
2024-12-21,83.63514945,84.48077909,83.42171603,84.40674733,46140
2024-12-22,84.40674733,84.45462458,84.14955065,84.42460511,46329
2024-12-23,84.42460511,84.51863634,84.37516602,84.49025677,43204
2024-12-24,84.49025677,85.21412083,84.24003667,84.99346695,40712
2024-12-25,84.99346695,85.01085672,84.96719363,84.97193281,41370
2024-12-26,84.97193281,84.97426834,84.33544316,84.48919267,44107
2024-12-27,84.48919267,84.86962623,84.15424591,84.76115233,43533
2024-12-28,84.76115233,84.78385359,84.02891747,84.11619594,47195
2024-12-29,84.11619594,84.85600984,83.91207747,84.62817938,45181
